Codigo;Razon Social;Sucursal;Direccion Fiscal;Nro de RIF;Persona Contacto;Telefono;Direccion de Recolecta;Estatus;Email;Tarifa;Mod. Pago;F. Ult. Guia;
4;LIBERTY EXPRESS TEST;CCS;DIRECCION DE LIBERTY;J-9999999-9;Contacto Ficticio;555555555;;ACTIVO;;TARIFA NAC2012;CREDITO;;
GN1755;JUAN RAFAEL RODRIGUEZ PERDOMO;CCS;N/A;V-8.307.998;N/A;0281 - 286.8464;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CR082;PUBLICIDAD HENER DE VENEZUELA;CCS;N/A;J-00018309-0;AIDA ROLON; 0212-9514769/ 2667;DIRECCION HENER;ACTIVO;hdb@hener.com.ve;TARIFA NAC2012;CREDITO;;
0001;POWERTROL GENERATION SYSTEMS, S;CCS;N/A;N/A;N/A;(0212) 693.51.53;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
0002;POWERTROL ENERGY SYSTEMS, S.A;CCS;N/A;J-31464331-2;N/A;0212.693.60.65;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
0005;RODMAX, C.A.;CCS;CENTRO COMERCIAL O.S CENTER, NIVEL PB OFC 1-A,  AV. JORGE RODR?GUEZ, SECTOR LAS GARZAS, LECHERIAS EDO. ANZO?TEGUI.;J-53136168-4;ISABEL BOLIVAR;0281-286-99-52;CENTRO COMERCIAL O.S CENTER NIVEL PB OFC. 1-A, AV. JORGE RODR?GUEZ, SECTOR LAS GARZAS, LECHERIAS EDO. ANZOATEGUI.;ACTIVO;rodmax31@hotmail.com;TARIFA NAC2012;CREDITO;2011-01-18;
0006;TECNICA E INGENIERIA EIFFEL;CCS;N/A;J-0006475-0;N/A;0212-123;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
1139;LUIS ERNESTO ASCANIO INCIARTE;CCS;N/A;16546206;N/A;0212-516-8450 / 0212-372-51-45;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CR183;INSUMOS MEDICOS D&H, C.A.;VLN;URBANIZACION CARIALINDA, CALLE FIFTUS, SECTOR "E" CASA N? 295, NAGUANAGUA - LA ENTRADA;J-31601364-2;DORIS GRAZIANI;0241-9130896/ 0414-434-72-14;N/A;ACTIVO;graziani4lise@hotmail.com;TARIFA NAC2012;CREDITO;2012-05-11;
BK000;GRUPO BEKESANTOS C.A;CCS;AV. FRANCISCO DE MIRANDA, CENTRO EMPRESARIAL DEL ESTE, TORRE LIBERTADOR NUCLEO B, OFIC PP4 CHACAO.;J-29391798-0;YELITZA PEREZ;0212-265-84-34/ 77-10/ 72-86;N/A;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
BRM02;LIBERTY EXPRESS BARQUISIMETO, C;CCS;N/A;J-31627050-5;N/A;0251-5116293;N/A;INACTIVO;N/A;TARIFA NAC2012;CREDITO;2011-09-19;
PPD;LIBERTY EXPRESS CONTADO (EDITAR);TODOS;LIBERTY EXPRESS (EDITAR);N/A;LIBERTY LA URBINA;(EDITAR);(EDITAR);ACTIVO;n/a;TARIFA NAC2012;CONTADO;2012-08-31;
CE001;CORPORACION DIARTIPEL C.A;CCS;CALLE 9 EDIFICIO RENZO, PISO 1 OFIC 1-A LA URBINA.;J-31110699-5;GLADY ARCIPEL;0212-2410787;N/A;ACTIVO;gladyarcipel@hotmail.com;TARIFA NAC2012;CREDITO;2010-10-14;
CE002;NO USAR ..USAR CR641;CCS;2DA TRANSVERSAL DE LAS DELICIAS ENTRE 2DA TRANSVERSAL AV. LIBERTADOR TORRE MG PISO 3;J-31357354-0;EUDES SOTILLO;0212-7618849;2DA TRANSVERSAL DE LAS DELICIAS ENTRE 2DA TRANSVERSAL AV. LIBERTADOR TORRE MG PISO 3;INACTIVO;esotill@solucioneslogicas.com.ve;TARIFA NAC2012;CONTADO;;
CE004;AYACHE CENTER C.A;CCS;CENTRO COMERCIAL REGINA PTO LA CRUZ;J-31694302-0;N/A;0414-8124407 / 0281 2829196;CENTRO COMERCIAL REGINA PTO LA CRUZ;ACTIVO;N/A;TARIFA NAC2012;CREDITO;;
CR281;AUTO CARROCERIA PARTS MOTORS C.;VLN;AV. NEGRO PRIMERO CON CALLE GIRARDOT SAN BLAS, VALENCIA EDO. CARABOBO;J-07515291-3;JOSE CANDAL;0241-8593145;AV. NEGRO PRIMERO CON CALLE GIRARDOT SAN BLAS, VALENCIA EDO. CARABOBO;ACTIVO;pintojoser@hotmail.com;TARIFA NAC2012;CREDITO;2012-08-10;
VLNC19;GLOBAL DIAGNOSTIC DE VENEZUELA;VLN;URB. TRIGAL CENTRO, CALLE SANZ N? 142-40 A, VALENCIA-EDO. CARABOBO;J-311251774;JOSE GONZALEZ;0241-8426597/ 842-87-13;N/A;ACTIVO;jogregonzalez2000@gmail.com;TARIFA NAC2012;CREDITO;;
